CollectionCode	HMS	StructuredFormula	StructureType	Title	Authors	CellParameter	CellVolume	Temperature	Pressure	ChemicalName	CalculatedDensity	PublicationYear	Quality	
253841	P 63/m m c	Ti	hcp#Mg	Crystal structure and bonding characteristics of transformation products of bcc beta in Ti-Mo alloys	Sabeena, M.; Murugesan, S.; Anees, P.; Mohandas, E.; Vijayalakshmi, M.	2.9514(1) 2.9514(1) 4.6814(2) 90. 90. 120.	35.32	295.00	0.101325	Titanium - alpha'	4.50	2017	10	
253842	P 63/m m c	(Ti0.995 Mo0.005)	hcp#Mg	Crystal structure and bonding characteristics of transformation products of bcc beta in Ti-Mo alloys	Sabeena, M.; Murugesan, S.; Anees, P.; Mohandas, E.; Vijayalakshmi, M.	2.9475(2) 2.9475(2) 4.6728(4) 90. 90. 120.	35.16	295.00	0.101325	Titanium - alpha'	4.55	2017	10	
43416	P 63/m m c	Ti	hcp#Mg	The lattice constants of high purity alpha titanium	Wood, R.M.	2.95111(6) 2.95111 4.68433(10) 90. 90. 120.	35.33	298.00	0.101325	Titanium - alpha	4.50	1962	-1	
43614	P 63/m m c	Ti	hcp#Mg	Thermal expansion of titanium and some titanium oxygen alloys	Wasilewski, R.J.	2.951 2.951 4.682 90. 90. 120.	35.31	293.00	0.101325	Titanium	4.51	1961	-1	
43733	P 63/m m c	Ti	hcp#Mg	Crystal structure and chemical nature of the lower oxides of titanium Ti O0.48	Makarov, E.S.; Kuznetsov, L.M.	2.951 2.951 4.685 90. 90. 120.	35.33	293.00	0.101325	Titanium	4.50	1960	-1	
44390	P 63/m m c	Ti	hcp#Mg	The measurement of the lattice dimensions and Debye temperatures of titanium and silver by X-ray methods	Spreadborough, J.; Christian, J.W.	2.9506 2.9506 4.679(7) 90. 90. 120.	35.28	295.00	0.101325	Titanium - alpha	4.51	1959	-1	
44872	P 63/m m c	Ti	hcp#Mg	On the determination of high-purity alpha-titanium lattice parameters	Szanto, I.	2.9506(5) 2.9506(5) 4.6788(7) 90. 90. 120.	35.28	293.00	0.101325	Titanium - alpha	4.51	1955	-1	
53784	P 63/m m c	Ti	hcp#Mg	Crystal structures of Ti, Zr, Ce, Th, and Os	Hull, A.W.	2.97 2.97 4.72 90. 90. 120.	36.06	293.00	0.101325	Titanium - alpha	4.41	1921	-1	
76144	P 63/m m c	Ti	hcp#Mg	Standard x-ray diffraction powder patterns	Swanson, H.E.; Fuyat, R.K.; Ugrinic, G.M.	2.95 2.95 4.686 90. 90. 120.	35.32	298.00	0.101325	Titanium	4.50	1954	-1	
76265	P 63/m m c	Ti	hcp#Mg	Observations on the lattice parameters of the alpha and Ti O phases in the titanium-oxygen system	Rostoker, W.	2.944 2.944 4.678 90. 90. 120.	35.11	293.00	0.101325	Titanium - alpha	4.53	1952	-1	
